Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins
0,80,1,0,0.23,3,202.4,118,59.3,13.01,9.2
0,63,1,0,0.0,3,132.9,122,29.0,3.35,9.9
0,116,1,1,2.43,2,221.0,108,75.3,7.55,9.0
1,71,1,0,0.0,0,278.9,110,64.0,9.51,11.7
0,120,1,1,3.11,1,177.9,117,77.1,8.76,11.5
0,132,1,0,0.0,2,181.1,121,58.0,15.72,4.2
0,105,1,0,0.0,2,156.5,102,39.0,7.01,12.2
0,117,0,0,0.0,1,198.4,121,55.0,12.48,10.5
0,64,1,0,0.0,3,216.9,78,55.0,10.55,11.4
0,143,1,1,2.08,1,141.4,130,60.8,9.32,7.7
0,60,1,0,0.0,2,98.2,88,33.0,9.03,9.3
0,144,1,1,2.73,1,106.4,109,55.3,5.41,10.1
0,80,1,1,2.51,0,196.4,115,72.1,7.52,9.3
0,143,1,0,0.0,0,209.1,127,45.0,5.31,14.0
0,161,1,0,0.0,1,178.1,109,43.0,7.33,8.5
0,109,1,0,0.36,2,193.6,58,49.6,7.44,13.1
1,139,0,1,3.62,1,203.5,82,88.2,10.02,13.4
0,97,1,0,0.0,1,151.6,107,39.0,7.77,14.7
0,98,1,1,2.97,2,110.3,71,64.7,9.12,11.0
0,122,1,0,0.0,1,168.3,96,37.0,4.38,8.4
0,130,1,0,0.0,5,139.1,72,45.0,12.3,11.4
0,24,1,0,0.0,1,241.9,104,54.0,7.26,6.6
0,74,1,0,0.0,0,162.7,102,53.0,14.6,8.7
0,35,1,0,0.0,1,260.8,87,67.0,12.91,5.8
0,105,1,0,0.0,0,246.4,83,64.0,12.81,3.8
0,95,1,0,0.0,1,149.2,96,48.0,13.04,8.1
0,161,1,0,0.0,2,107.5,121,41.0,12.82,12.6
0,63,1,0,0.37,0,211.2,80,60.7,11.89,12.3
0,57,1,0,0.0,0,85.9,92,32.0,9.7,10.1
0,50,1,0,0.0,1,131.7,108,41.0,10.83,11.0
0,52,1,0,0.0,2,217.0,104,50.0,7.62,11.8
0,115,1,0,0.0,1,206.2,113,51.0,8.82,11.0
0,120,1,1,1.86,1,215.8,123,79.6,14.26,6.9
1,64,0,0,0.0,1,225.3,134,48.0,5.41,17.3
0,144,1,1,2.7,1,283.9,98,92.0,9.6,10.0
1,152,0,1,3.83,9,237.5,120,100.3,12.67,14.2
0,161,1,1,1.97,1,218.5,76,66.7,5.64,7.3
0,52,1,1,2.97,1,142.1,77,70.7,9.65,11.0
